0xff811ba0,wrapped_malloc
0xff820cf8,DeleteMessageQueue
0xff820f34,ReceiveMessageQueue
0xff8211a8,TryReceiveMessageQueue
0xff82134c,PostMessageQueue
0xff821574,TryPostMessageQueue
0xff8216a0,GetNumberOfPostedMessages
0xff821844,CreateBinarySemaphore
0xff821854,CreateCountingSemaphore
0xff821854,CreateCountingSemaphore_FW
0xff821960,DeleteSemaphore
0xff821960,DeleteSemaphore_FW
0xff821b6c,TakeSemaphore
0xff821b6c,TakeSemaphore_FW
0xff821cf0,TryTakeSemaphore
0xff821d54,GiveSemaphore
0xff821d54,GiveSemaphore_FW
0xff821e28,GetSemaphoreValue
0xff8221fc,SleepTask
0xff8221fc,SleepTask_FW
0xff82239c,CreateTask
0xff82239c,CreateTask_FW
0xff82275c,ExitTask
0xff82275c,ExitTask_FW
0xff8233bc,GetTimeOfSystem_FW
0xff82356c,CreateRecursiveLock
0xff823688,DeleteRecursiveLock
0xff823760,AcquireRecursiveLock
0xff823888,ReleaseRecursiveLock
0xff823964,CreateTaskStrictly
0xff8239a4,CreateMessageQueueStrictly
0xff8239d0,CreateEventFlagStrictly
0xff8239fc,CreateBinarySemaphoreStrictly
0xff823a28,CreateCountingSemaphoreStrictly
0xff823a54,CreateRecursiveLockStrictly
0xff823de8,Restart,(stubs_entry_2.s)
0xff823f20,WriteToRom_FW
0xff824004,EraseSectorOfRom_FW
0xff825d08,GetPropertyCase,(stubs_entry_2.s)
0xff829b70,ShowGPIOGenericInvalue_FW
0xff829c10,ShowGPIOControlPropaty_FW
0xff829ce4,GetSwitchStatus_FW
0xff82ae84,kbd_pwr_off,(stubs_entry_2.s)
0xff82b848,GetAdChValue_FW
0xff82b888,GetAdVBattBottom_FW
0xff82c73c,SetBattCheckMode_FW
0xff82c7c4,ShowBattCheckMode_FW
0xff82c87c,ShowBattChkAdj_FW
0xff82cabc,GetLBOffset_FW
0xff82d570,VbattGet
0xff82d570,VbattGet_FW
0xff82e340,GetOpticalTemperature
0xff82e354,GetCCDTemperature
0xff82e368,GetBatteryTemperature
0xff82f4dc,StartTestSound_FW
0xff82f558,StopTestSound_FW
0xff86fb74,RenameFile_Fut
0xff86fbf4,DeleteFile_Fut
0xff86fc80,MakeDirectory_Fut
0xff86fcf8,Fopen_Fut
0xff86fd34,Fclose_Fut
0xff86fe18,Fread_Fut
0xff86fe68,Fwrite_Fut
0xff86feb8,Fgets_Fut
0xff86ff00,Fseek_Fut
0xff86ff48,Feof_Fut
0xff86ff80,Fflush_Fut
0xff8762d4,Unmount_FileSystem
0xff8767a0,GetDrive_ClusterSize,(stubs_entry_2.s)
0xff876838,GetDrive_FreeClusters,(stubs_entry_2.s)
0xff8767fc,GetDrive_TotalClusters,(stubs_entry_2.s)
0xff877368,Open
0xff877368,Open_FW
0xff877374,Close
0xff877374,Close_FW
0xff8773d4,Read
0xff8773d4,Read_FW
0xff8773e0,Write
0xff8773e0,write
0xff8773e0,Write_FW
0xff8773f8,Lseek
0xff8773f8,Lseek_FW
0xff88b4f8,EngDrvOut
0xff88b518,EngDrvRead
0xff88b52c,EngDrvBits
0xff89b714,Angel.Test_FW
0xff89b760,Angel.Dump_FW
0xff8aaaf8,Lucky.Test_FW
0xff8aab34,Lucky.Dump_FW
0xff8acadc,EngineDriver.Delete_FW
0xff8acbb0,OutPort_FW
0xff8acbc4,InPort_FW
0xff8acc80,Capture.Delete_FW
0xff8bbe28,apex2us
0xff877380,Remove,(stubs_entry_2.s)
0xff8dc82c,EnableOBClampField_FW
0xff8dc844,DisableOBClampField_FW
0xff8e3aac,TgTool.SetSubNumber_FW
0xff8e3b08,TgTool.GetSubNumber_FW
0xff8e3b2c,TgTool.SetTgSubPosition_FW
0xff8e3b84,TgTool.GetTgCurrentSubPosition_FW
0xff8e3b90,TgTool.SetPhase_FW
0xff8e3bec,TgTool.ChangePhaseHi_FW
0xff8e3c08,TgTool.ChangePhaseLo_FW
0xff8e3c24,TgTool.GetPhase_FW
0xff8e3c34,TgTool.ImgTest.SetPhase_FW
0xff8e3c98,TgTool.ImgTest.GetPhase_FW
0xff8e3cb0,TgTool.SetDuty_FW
0xff8e3d0c,TgTool.ChangeDutyHi_FW
0xff8e3d28,TgTool.ChangeDutyLo_FW
0xff8e3d44,TgTool.GetDuty_FW
0xff8e3d54,TgTool.ImgTest.SetDuty_FW
0xff8e3db8,TgTool.ImgTest.GetDuty_FW
0xff8e3dd0,TgTool.SetPhaseADLogical_FW
0xff8e3e24,TgTool.GetPhaseADLogical_FW
0xff8e3e30,TgTool.ImgTest.SetADDegree_FW
0xff8e3e8c,TgTool.ImgTest.GetADDegree_FW
0xff8e3e9c,TgTool.SetHDriverbility_FW
0xff8e3ef0,TgTool.GetHDriverbility_FW
0xff8e3efc,TgTool.ImgTest.SetDriverbility_FW
0xff8e3f58,TgTool.ImgTest.GetDriverbility_FW
0xff8e3f68,TgTool.SetStbMode_FW
0xff8e3fbc,TgTool.GetStbMode_FW
0xff8e3fc8,TgTool.SetRegisterImage_FW
0xff8e4048,TgTool.GetRegisterImage_FW
0xff8e4224,TgTool.StartSmoothSubNumber_FW
0xff8e42b4,TgTool.StopSmoothSubNumber_FW
0xff8e45bc,TgTool.Delete_FW
0xff8e48f0,VirtualImageTimeOut_FW
0xff967f48,DoAFLock,(stubs_entry_2.s)
0xff968024,UnlockAF,(stubs_entry_2.s)
0xff912ee0,IsStrobeChargeCompleted
0xff93cfa4,DispCon_ShowBitmapColorBar
0xff96817c,ExitFromCompensationEVF,(stubs_entry_2.s)
0xff971f50,NR_SetDarkSubType
0xff97b8e4,PT_EraseAllFile_FW
0xff97b914,PT_mod_FW
0xff97b920,PT_atoi_FW
0xff97b92c,PT_GetSystemTime
0xff97b92c,PT_GetSystemTime_FW
0xff97b96c,PT_GetCaptureCountAll_FW
0xff97b984,PT_UpCaptureCount_FW
0xff97b99c,PT_UpCaptureSuccess_FW
0xff97b9b4,PT_UpStrobeCount_FW
0xff97b9cc,PT_UpStrobeSuccess_FW
0xff97b9e4,PT_GetCaptureCount_FW
0xff97b9f4,PT_GetCaptureSuccess_FW
0xff97ba04,PT_GetStrobeCount_FW
0xff97ba14,PT_GetStrobeSuccess_FW
0xff97ba68,PT_ShowCaptureCount_FW
0xff97bac8,PT_SetPropertyCaseString_FW
0xff97badc,PT_SetPropertyCaseInt_FW
0xff97bb04,PT_GetPropertyCaseString_FW
0xff97bb18,PT_GetPropertyCaseInt_FW
0xff97bbc4,PT_GetLocalTimeString_FW
0xff97bc20,PT_GetLocalDateString_FW
0xff97bc84,PT_GetLocalDateAndTimeString_FW
0xff97bcd4,PT_SetMessage_FW
0xff97bcfc,PT_UndispMessage_FW
0xff97bd18,PT_PlaySound
0xff97bd18,PT_PlaySound_FW
0xff97bd30,PT_LCD_BkColor_FW
0xff97bdec,PT_LCD_BkColorDef_FW
0xff97be20,PT_BatLvChange_Weak_FW
0xff97be28,PT_BatLvChange_Low_FW
0xff97be30,PT_BatLvChange_SysLow_FW
0xff97be58,PT_StartBatteryTest_FW
0xff97bebc,PT_FinishBatteryTest_FW
0xff97bfb0,PT_GetBatteryLevel_FW
0xff97bfc8,PT_GetWeakBatLv_FW
0xff97c01c,PT_GetLowBatLv_FW
0xff97c080,UiMemory_Show_FW
0xff97d464,CreateController_FW
0xff97d51c,DeleteController_FW
0xff97d654,MoveControllerToTopOfZOrder_FW
0xff97d78c,GetSelfControllerHandle_FW
0xff980158,PostLogicalEventForNotPowerType
0xff980158,PostLogicalEventForNotPowerType_FW
0xff9801e4,PostLogicalEventToUI
0xff9801e4,PostLogicalEventToUI_FW
0xff98027c,PostEventShootSeqToUI_FW
0xff9802f4,ShowLogicalEventName_FW
0xff98043c,LogiEvnt_LoadCameraLog_FW
0xff981918,IsControlEventActive_FW
0xff9819cc,SetScriptMode
0xff9819cc,SetScriptMode_FW
0xff9819dc,UiEvnt_ShowBitMaps_FW
0xff982ff8,IsDisableAutoShutdown_FW
0xff9830b0,ShowAutoShutdownTime_FW
0xff9830e4,DisableAutoShutdown_FW
0xff9830fc,EnableAutoShutdown_FW
0xff9833c0,SetAutoShutdownTime
0xff9833c0,SetAutoShutdownTime_FW
0xff9834c8,LockMainPower
0xff9834c8,LockMainPower_FW
0xff98357c,UnlockMainPower
0xff98357c,UnlockMainPower_FW
0xff98368c,GetMainPowerLockCounter_FW
0xff987ee4,SetParameterData,(stubs_entry_2.s)
0xff98d7b0,CreateDialogBox_FW
0xff98d998,DeleteDialogBox_FW
0xff98da54,ResizeVirtualWindow_FW
0xff98da80,MoveDialogBoxPosition_FW
0xff98db20,DeleteDialogBoxAfterGetTopOfControl_FW
0xff98db44,SetPropertyToDialogItemWithID_FW
0xff98db74,GetPropertyFromDialogItemWithID_FW
0xff98dc0c,AddItemToDialogBox_FW
0xff98dce0,DeleteItemFromDialogBox_FW
0xff98ddcc,SetFocusDirectionToDialogItem_FW
0xff98dfd0,SetFocusItemToDialogItem_FW
0xff98e0e4,GetFocusedItemIDOfDialogItem_FW
0xff98e11c,GetItemHandleOfDialogBox_FW
0xff98e1bc,DisplayDialogBox_FW
0xff98e1e0,UndisplayDialogBox_FW
0xff98e204,SetBackgroundColorToDialogBox_FW
0xff98e258,RefreshRectangleToDialog_FW
0xff98e2c0,RegisterRefreshToDialog_FW
0xff98e384,RefreshRegistedRectangleToDialog_FW
0xff98e3f8,FillRectangleToDialog_FW
0xff98e458,DrawStringToDialog_FW
0xff98e4b8,TransferRectangleToDialog_FW
0xff98e528,TransferBitmapToDialog_FW
0xff98e5a8,DrawBinaryBitmapToDialog_FW
0xff98e610,GetDialogBoxWindow_FW
0xff98e630,SetFocusScopeToDialog_FW
0xff98e6a0,GetFocusScopeToDialog_FW
0xff98e6ec,MoveViewPortPosition_FW
0xff98e750,ResizeDialogBox_FW
0xff98e79c,MoveDialogControllerToTopOfZOrder_FW
0xff98e7c0,RegisterChangeLanguageToDialog_FW
0xff98e808,UnregisterChangeLanguageToDialog_FW
0xff98e844,MoveDialogItemPositionToDialog_FW
0xff98e878,ResizeDialogItemToDialog_FW
0xff98e8ac,GetDialogItemPositionToDialog_FW
0xff98e8e0,GetDialogItemResolutionToDialog_FW
0xff98e914,SetOriginTypeToDialog_FW
0xff98e938,SetDefaultMovingFocusToDialog_FW
0xff98e95c,LockRefreshDialog_FW
0xff98e9a0,UnlockRefreshDialog_FW
0xff98ea60,KeepDefaultMoveFocusEventToDialog_FW
0xff98ec9c,InstallDialogItem_FW
0xff98ed78,CreateDialogItem_FW
0xff98ee68,DeleteDialogItem_FW
0xff98eee8,DrawDialogItem_FW
0xff98ef80,ControlEventHandler_FW
0xff98effc,SetPropertyToDialogItem_FW
0xff98f070,GetPropertyFromDialogItem_FW
0xff98f0e4,SetAttributeToDialogItem_FW
0xff98f158,GetAttributeFromDialogItem_FW
0xff98f1c4,MoveDialogItemPosition_FW
0xff98f238,ResizeDialogItem_FW
0xff98f2b8,GetDialogItemPosition_FW
0xff98f338,GetDialogItemResolution_FW
0xff991778,StartGUISystem_FW
0xff991b70,DeletePalette_FW
0xff991be8,SetYUVPaletteIndex_FW
0xff991d28,SetPaletteToPhysicalScreen_FW
0xff991d80,GetPaletteFromPhysicalScreen_FW
0xff9941a0,SetCurrentPalette_FW
0xff9941b0,SetSystemColorMode_FW
0xff998824,LockPhysicalScreen_FW
0xff9988b4,RefreshPhysicalScreen
0xff9988b4,RefreshPhysicalScreen_FW
0xff998984,EnableRefreshPhysicalScreen_FW
0xff998998,DisableRefreshPhysicalScreen_FW
0xff9989ac,IsEnableRefreshPhysicalScreen_FW
0xff9a3b50,UI_ShowStateOfRecMode_FW
0xff9a3b68,ModeLevelStillRecForScript_FW
0xff9a3c6c,ModeLevelMovieRecForScript_FW
0xff9a3d70,ModeLevelPlayForScript_FW
0xff9a960c,ExecuteResetFactoryWithRomWrite_FW
0xff9ac99c,EnterToDisplayOff_FW
0xff9ac9e4,LockEnterToDisplayOff_FW
0xff9ac9f8,UnlockEnterToDisplayOff_FW
0xff9aed4c,GetCurrentCaptureModeType_FW
0xff9b2f68,ShootCon_GetStatus_FW
0xff9b79b4,ShootCon_ShowState_FW
0xff9b84fc,ShootCon_SetEventHook_FW
0xff9b8528,ShootCon_PrintMemoryDump_FW
0xff9b85b4,ShootCon_ShowAllSemaphores_FW
0xff9c8cb8,StartSwitchViewFinder_FW
0xff9c8d0c,StopSwitchViewFinder_FW
0xff9c8d38,SwitchViewFinder_FW
0xff9cbeac,TurnOnBackLight
0xff9cbed8,TurnOffBackLight
0xff9ff8c4,TerminateDpofUI_FW
0xffa0234c,StartSlideShowMenu_FW
0xffa03d84,StartDpofPlayLoading_FW
0xffa03f2c,StopDpofPlayLoading_FW
0xffa03f54,SyncStopDpofPlayLoading_FW
0xffa061d8,StartRecModeMenu
0xffa0c9c0,InstallMyCameraMenu_FW
0xffa0d99c,IsCalledStopEVF_FW
0xffa0dd90,ShutdownRecAllMenu_FW
0xffa0de08,ShutdownPlayAllMenu_FW
0xffa16ce0,StartDtConfirmMenu_FW
0xffa16dc0,StoptDtConfirmMenu_FW
0xffa172b8,StartDtExecuteMenu_FW
0xffa173e0,StoptDtExecuteMenu_FW
0xffa1995c,StartDpConnect_FW
0xffa19bb8,StopDpConnect_FW
0xffa19f48,CreateDpConnectController_FW
0xffa1a198,DeleteDpConnectController_FW
0xffa1a26c,shutdownDirectPrintUI_FW
0xffa21bac,StartDpsDpofMenu_FW
0xffa26304,StartDpsMainMenu_FW
0xffa2a468,StartDpsStop_FW
0xffa31670,DBG_changeTraceLevel_FW
0xffa31828,StartDpMovieMenu_FW
0xffa6061c,PTPRspnd.ShowRemoteStg_FW
0xffa87f34,ResetZoomLens
0xffa88000,MoveZoomLensWithPoint
0xffaa8824,GetZoomLensCurrentPoint,(stubs_entry_2.s)
0xffaa8838,GetZoomLensCurrentPosition,(stubs_entry_2.s)
0xffa8fe08,ResetFocusLens
0xffaa375c,FA.Delete_FW
0xffaa3f2c,InitializeAdjustmentSystem_FW
0xffaa3f58,TerminateAdjustmentSystem_FW
0xffaa6d44,GetCurrentAvValue
0xffaa8ca0,GetCurrentTargetDistance
0xffaa8f30,MoveFocusLensToDistance
0xffaabe0c,SetAE_ShutterSpeed
0xffacee08,MakeBootDisk_FW
0xffacee1c,MakeScriptDisk_FW
0xffacf468,ExecuteFirmUpgrade_FW
0xffad06b4,LoadScript_FW
0xffad06c8,UnLoadScript_FW
0xffad06dc,Printf_FW
0xffad06f4,DumpScript_FW
0xffad0718,ScriptDisEnabled_FW
0xffad072c,ScriptEnabled_FW
0xffad0814,ShowScript_FW
0xffad75b4,realloc
0xffad7874,ShowAllTaskInfo_FW
0xffad82d4,GetLogToFile_FW
0xffad8388,EraseLogSector_FW
0xffad90c4,IntenseLED_FW
0xffad94f4,MemoryChecker_FW
0xffad9648,VerifyByte_FW
0xffad97ac,RunPb_FW
0xffada270,MessageToSubCPU_FW
0xffada300,SubCPUFirmUpgrade_FW
0xffada368,SubCPUVersion_FW
0xffada3a4,StartSwitchCheck_FW
0xffada3b0,StopSwitchCheck_FW
0xffada3bc,StartHB_FW
0xffada3c8,StopHB_FW
0xffada3d4,SubCPURomCheckSum_FW
0xffada3ec,ISOff_FW
0xffada408,ISAutoCenter_FW
0xffae0ac0,_log
0xffae1168,_log10
0xffae1658,_pow
0xffae59a4,_sqrt
0xffaea454,isalpha
0xffaea484,isdigit
0xffaea4b4,islower
0xffaea4e4,ispunct
0xffaea4fc,isspace
0xffaea514,isupper
0xffaea52c,isxdigit
0xffaea544,tolower
0xffaea554,toupper
0xffaed914,qsort
0xffaed938,rand
0xffaed95c,srand
0xffaedd50,strtol
0xffaedef8,strtoul
0xffaee080,memchr
0xffaee0b4,memcmp
0xffaee0b4,memcmp_FW
0xffaee0f0,memcpy
0xffaee0f0,memcpy_FW
0xffaee168,memset
0xffaee168,memset_FW
0xffaee188,strcat
0xffaee1b4,strchr
0xffaee1d8,strcmp
0xffaee1d8,strcmp_FW
0xffaee36c,strcpy
0xffaee36c,strcpy_FW
0xffaee4d0,strlen
0xffaee4d0,strlen_FW
0xffaee534,strncmp
0xffaee578,strncpy
0xffaee5c0,strpbrk
0xffaee5fc,strrchr
0xffaeee9c,mktime
0xffaef9f4,strftime
0xffaefa20,time
0xffaf04ac,readdir
0xffaf04e0,closedir
0xffaf0514,opendir
0xffaf05a8,stat
0xffaf063c,utime
0xffaf0cac,errnoOfTaskGet
0xffaf1e00,vsprintf
0xffaf1e64,sprintf_FW
0xffaf2fb8,sscanf_FW
0xffaf4540,close
0xffaf45a0,read
0xffaf4684,lseek
0xffaf4b84,open
0xffaf5738,iosDevDelete
0xffaf5760,iosDevAdd
0xffaf5a24,iosDrvInstall
0xffaf7580,malloc_alt
0xffaf7990,memShow_FW
0xffaf79a0,memPartInfoGet
0xffafab3c,taskDeleteHookAdd
0xffafac00,taskCreateHookAdd
0xffb025dc,taskName
0xffb027ec,taskSuspend
0xffb029c0,taskResume
0xffb02da0,taskLock
0xffb02e48,taskUnlock
